Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Argentina,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2527.15,1987.98,2765.87,3349.8,3229.33,3053.67,3128.71,3532.73,3892.13,3698.23,3645.6,3215.19,1993.91,2533.59,2131.32,1544.88,1335.33,1092.73,768.79,553.55,1051.95,1261.83
Argentina,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4204.88,2888.45,3069.24,3036.52,2620.65,2306.09,2404.53,2792.21,3823.12,5051.83,4772.32,4493.08,4386.66,4713.57,4176.2,4404.62,4497.16,3830.58,3536.33,2961.08,2851.69,2674.33
Argentina,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12391.98,8648.78,10093.94,15573.23,17870.3,13605.5,13043.78,14340.81,19161.46,17676.65,22181.04,17948.82,11819.24,17976.76,14660.27,11871.44,10625.33,7562.43,4699.63,2518.27,5277.76,6478.45
Argentina,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13525.04,8656.34,9258.74,12072.49,12314.22,10473.03,11827.02,10776.37,11312.45,9900.61,10572.98,7649.02,4822.6,7103.89,5092.95,3121.71,1528.62,1400.97,720.75,330.24,1066.33,1156.74
Argentina,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11766.92,7941.28,10385.46,11291.36,9307.37,9039.1,10098.3,13882.69,15948.97,16456.67,17317.11,14432.99,11379.43,13273.28,10486.06,8140.97,6328.29,5411.83,4663.29,4827.79,6205.63,6990.8
Argentina,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4995.2,3309.51,4109.53,4277.9,4517.08,4490.79,3434.54,4081.82,4182.36,4023.11,4301.14,3668.83,3680.36,5401.77,4344.41,4119.11,4570.41,3707.82,3133.53,2957.2,2900.13,3148.71
Argentina,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5922.12,4414.06,6273.64,7696.59,7634.94,6985.26,7937.17,9107.0,8069.31,8476.1,7810.17,6125.4,5169.64,6979.89,5342.3,4292.13,4532.22,3429.87,2264.01,1804.35,3781.21,4784.87
Australia,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15778.72,12546.59,15375.71,17294.61,16523.67,14593.66,14793.1,15478.59,17946.31,19712.94,18577.83,17526.28,13476.04,18049.34,15907.7,13711.75,13765.15,12881.77,11131.5,9062.53,8344.98,9413.28
Australia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,116817.97,92618.92,88894.39,74742.94,68471.06,59992.75,61012.46,81413.61,87311.42,75836.31,73804.14,53740.4,33389.24,27225.18,19967.51,15356.47,12302.48,8094.99,5922.09,4557.23,3917.96,3474.45
Australia,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,22592.87,14067.2,14099.74,13963.97,13232.65,12770.22,13299.33,17891.71,17710.7,20540.98,24008.84,18829.45,12281.99,15485.8,11306.98,9310.3,8359.63,6740.74,5267.09,5431.9,4925.11,5230.43
Australia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,72858.76,60208.02,56448.23,57102.17,49971.61,44241.02,46292.72,46854.59,44861.05,45996.26,43447.91,38004.36,29211.72,31588.26,25898.02,20327.74,17341.18,14073.26,9832.37,7332.9,5625.31,5568.96
Australia,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,30319.47,22654.47,24446.79,26582.38,24179.67,26344.51,29826.96,43135.79,31251.83,49680.33,52088.08,40088.03,30014.17,42731.58,26801.2,24446.82,21703.96,16314.19,12820.29,12064.75,12255.38,12600.2
Australia,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,26614.56,24813.32,26089.88,24487.21,23612.15,21703.31,22560.99,24148.86,23820.3,29386.82,26797.97,22561.96,18669.86,24256.28,21252.49,19664.1,17460.41,16111.11,14194.3,13340.68,11729.05,14255.58
Austria,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,69544.61,57169.83,61220.14,65338.01,60827.24,55258.74,53767.73,63413.27,63772.94,62386.12,69627.49,59429.4,55542.13,70814.27,64791.42,57096.29,50631.65,47396.42,37534.53,29348.62,28576.88,27759.43
Austria,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10081.03,8952.39,8603.53,8787.09,8346.37,8363.32,8362.17,9442.69,8928.28,8475.02,8933.97,7449.75,6620.95,7269.78,6856.43,6127.14,5776.09,5515.28,4939.35,4128.96,3738.32,4353.93
Austria,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,58563.81,49238.2,50107.81,53090.76,47526.29,43505.24,42862.88,49507.68,48802.59,47722.88,52119.74,45740.02,40799.37,51167.59,47190.43,42702.4,37425.42,35540.42,28383.06,23407.09,21635.37,21137.87
Austria,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13155.82,10023.63,10808.28,11386.27,9995.18,8984.49,8869.28,10627.99,10553.84,9946.72,13008.92,11359.69,10820.83,14803.66,13985.08,11649.07,10176.46,9486.62,8011.24,6186.68,5666.94,5522.65
Austria,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13646.78,10398.79,11593.28,11718.35,10130.78,9142.01,8923.18,10507.65,10392.74,10317.18,11868.28,10189.74,9173.29,12119.0,10728.01,9019.37,7942.26,7543.83,6432.35,5238.52,5056.23,4879.38
Austria,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12746.47,10477.55,11366.17,12485.99,10560.65,9353.43,9647.45,9945.56,8912.43,8391.87,8703.59,6568.38,5629.84,7646.75,7917.99,7763.14,6649.76,6605.72,4623.25,3787.62,3522.03,3207.42
Belgium,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,63246.18,42843.68,45161.31,47546.83,45802.92,40906.11,38946.08,49018.16,49181.39,49532.68,52654.56,45216.16,59496.63,79859.45,72953.94,61127.04,54691.73,52337.24,43069.52,34219.3,29045.14,29047.55
Belgium,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,65823.7,49084.06,54771.96,58288.55,49022.96,43149.23,38432.76,50962.38,50938.39,49927.72,53970.91,45633.74,71617.43,93191.91,83981.56,72001.08,64547.77,60634.65,49759.68,40235.87,34503.39,31819.77
Belgium,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,40560.5,33091.27,36399.48,35914.64,32702.04,30034.65,28986.64,37899.39,38349.91,36855.21,40302.39,34965.58,40872.94,51928.6,45896.24,39068.69,36206.01,35071.97,30719.8,24938.89,24062.29,22419.9
Belgium,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,83001.12,56484.5,64663.1,72396.54,61646.04,54818.26,55230.47,79730.31,82718.95,82414.23,83621.1,67131.55,63459.54,89845.87,72258.77,64259.23,56047.31,47204.93,37976.34,31282.39,30583.81,30921.55
Belgium,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23950.13,17692.87,18938.41,21448.91,21280.86,20610.66,20033.8,23955.39,22540.97,20652.2,21410.45,18287.5,26466.01,34012.02,32639.37,28861.55,27392.32,26613.12,23246.74,20749.9,19140.93,18642.16
Belgium,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,53115.66,39414.36,42633.59,45893.43,43131.91,39710.01,39521.98,51307.73,50772.48,47462.41,52081.95,44769.3,66296.05,82435.03,72302.2,61730.84,57659.47,52705.25,44109.48,35241.2,33091.49,33013.92
Belgium,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,47637.74,34329.03,36050.65,37577.97,34197.1,30132.54,30642.61,38630.7,40460.86,40364.06,41967.71,35667.75,44009.88,57559.87,51317.15,43771.88,39244.45,36043.77,29926.01,25193.2,23189.4,23729.49
Brazil,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11921.3,9682.98,11126.27,11303.28,9776.47,9405.01,10719.14,14324.75,15738.6,14718.63,15776.95,12988.65,10150.37,12463.1,8979.77,6724.99,6361.68,5284.81,4368.47,4603.49,5052.17,4666.02
Brazil,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9316.02,6705.0,7159.16,8229.97,7416.92,6954.51,7818.91,10984.24,13349.72,13385.97,12423.4,8974.76,7028.56,9982.18,8135.15,5623.66,5165.12,4702.04,4106.47,3124.13,2861.31,2794.78
Brazil,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12412.75,8218.06,11044.93,11520.03,9806.85,9445.95,10667.64,14574.26,16977.43,16997.93,17489.81,14941.27,11719.6,13859.24,10905.82,8474.14,6596.07,5902.97,4949.24,5012.69,6528.72,7194.95
Brazil,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,31337.52,21618.7,29860.03,29093.18,27147.59,23298.72,24173.46,27133.86,24857.21,26795.36,25914.83,19458.89,15741.89,26859.04,25321.72,24755.78,22912.15,20303.17,16866.74,15503.91,14337.49,13360.25
Brazil,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,41502.93,29722.49,36634.7,34634.4,29288.18,25233.93,28020.95,36939.35,37962.24,34234.74,35868.19,28714.54,21188.18,27236.71,19702.44,15361.32,13419.95,12079.32,10175.26,10866.58,13568.92,13625.8
Barbados,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,73.96,72.71,65.91,65.93,64.0,78.01,68.2,69.36,71.62,66.31,71.63,64.19,67.15,92.51,101.35,94.92,90.76,77.29,74.45,78.62,85.95,93.33
Barbados,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,208.98,207.78,237.6,285.72,268.34,217.72,255.4,357.25,463.92,510.85,470.95,85.87,212.32,345.48,100.36,366.1,353.81,83.52,236.44,116.17,174.24,190.08
Barbados,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,67.37,45.87,92.63,103.69,125.44,177.97,157.49,81.63,84.95,149.1,70.53,78.18,90.02,95.54,44.64,88.61,48.49,39.0,36.11,35.58,38.81,43.11
Barbados,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,787.14,639.19,594.53,631.86,632.56,634.71,634.62,608.31,584.17,548.53,565.82,525.73,532.6,642.25,567.08,611.77,600.44,477.2,453.03,439.78,449.38,480.18
Barbados,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,25.66,23.46,28.65,31.69,36.52,39.95,39.8,59.43,53.93,64.97,86.05,26.48,32.21,43.03,87.26,48.7,39.09,27.85,28.36,23.69,28.63,36.07
Canada,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12324.0,10094.38,12419.72,13001.92,13500.07,11919.7,11561.57,12046.26,13342.17,15038.6,13193.77,13054.19,10860.58,14404.33,14447.45,13521.42,12220.23,10400.0,9882.96,9834.67,9457.04,11176.25
Canada,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,22404.74,18860.95,17546.21,21376.65,18185.91,15825.08,15783.68,17447.76,19900.0,19383.18,16984.62,12854.41,9797.29,9881.45,8873.35,6879.5,5961.77,5209.11,3436.4,2633.77,2755.23,2444.72
Canada,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,26994.86,22335.57,27878.8,28399.91,27345.83,25040.06,24410.3,26070.73,25919.4,25535.75,24813.96,21465.15,14531.6,16857.73,16050.28,14131.52,12049.99,10339.01,8717.56,8123.44,7830.57,8142.0
Canada,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,68559.62,57131.04,56541.2,58326.3,54652.26,48575.92,51368.52,53066.2,51209.84,50764.77,48653.54,43240.16,34872.19,40152.2,35824.74,30443.27,24369.38,18549.05,13288.64,10201.97,8218.61,7594.11
Canada,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11569.59,9243.57,9507.87,10000.69,9120.76,8085.37,7644.51,9725.09,10325.01,10350.58,10776.25,8932.61,7299.6,10464.78,8603.09,8306.15,7578.14,6587.07,5853.85,5328.02,5388.45,6111.29
